품목별,값1,값2,값3
기타 낙농제품,300763,262778,278103
기타 낚시용구,20088,24209,39207
기타 남성용 편조 외의(편직결합),38013,31518,26044
기타 납(연)축전지,144736,64007,84106
기타 냉동장비,18632,23115,29827
기타 냉동조리식품,1496714,1565318,1727260
기타 냉연강판(스테인리스제 제외),3237051,3360011,3194419
기타 농업용기계,123581,113639,95474
기타 당류,68874,88320,80531
기타 도금 및 피복처리 강재,200152,80931,97356
기타 도금강판,421348,286003,274440
기타 도료 및 관련제품,275737,232940,227354
기타 도정 곡물,69316,45315,65637
기타 도축고기,X,X,X
기타 동물가죽,12369,14318,X
기타 두발용조제품,213972,237255,253553
기타 망,136636,123528,146540
기타 모노리식 디지털 집적회로,X,X,31193
기타 목제 주방가구,90118,91934,81258
기타 목제품,67443,98370,117372
기타 무기산,X,X,35005
기타 무기안료,94011,69867,93442
기타 무선 통신전화기,41856,17450,X
기타 무선통신 시스템,1167616,766752,134714
기타 무선통신기기,127255,161203,154589
기타 묵 및 유사제품,58514,61852,65879
기타 문구용 종이제품,104146,81727,91064
기타 물질 측정 및 검사기기,713226,868636,808502
기타 물품취급장비,96277,105325,135612
기타 바이오 연료 및 혼합물,X,7609,29314
기타 반도체 메모리,6171633,6877607,24285206
기타 반도체 제조 장비,1940940,1701205,2702789
기타 반도체개별소자,199739,256263,294864
기타 반도체소자 부품,1568588,1630076,1811699
기타 발효주,14555,16968,29717
기타 방송국용 기기,11884,7523,27315
기타 방전램프,33992,29628,14192
기타 밸브,258870,273350,310122
기타 베어링,327919,277734,283718
기타 봉제의복,75707,75695,136064
기타 부정형 내화 요업제품,357749,359366,409606
기타 분류안된 금속가공제품,146411,148575,153180
기타 비군사용 무기 및 부품,70612,13710,9048
기타 비금속광물,20385,11226,13003
기타 비금속광물 분쇄물,452856,454256,473522
기타 비금속광물제품,109335,62133,56981
기타 비금속화합물,37660,89000,79386
기타 비동력식 차량의 타이어 및 튜브,11125,X,X
기타 비알콜성 음료,969034,963709,1163191
기타 비전기식 가정용 조리기기,14264,13644,9346
기타 비전기식 조명장치,36996,26213,30506
기타 비철금속 1차정련품,38035,475191,618865
기타 비철금속 2차정련품,200590,158018,169355
기타 비철금속 단조물,86375,73196,74800
기타 비철금속 분말,96016,213377,125206
기타 비철금속 압연 및 압출제품,121876,155029,241293
기타 비철금속 주물,115340,99134,587265
기타 비충격식 프린터,X,X,X
기타 비환식 탄화수소,272001,263923,342753
기타 빵류(제조도매),1273805,1021977,1507427
기타 사료,106023,89944,97503
기타 사무 및 상업용 목제가구,55999,50434,72585
기타 사무용 기계,56613,238336,44739
기타 사무용 보관함,13454,18666,19934
기타 사진관련 기기,X,X,X
기타 사진기,107875,119248,34795
기타 산업용 고무제품,448304,321201,341814
기타 산업용 도자기,40270,37379,35107
기타 산업용 로봇,962855,685425,403850
기타 산업용 보일러,3013205,2860997,2798086
기타 산업용 유리제품,154761,75800,73694
기타 산업용 트럭 및 적재기,26652,16969,17789
기타 산업용기계,1453578,1513167,1697684
기타 산업처리공정 제어장비,1553480,1620523,1447358
기타 상점용 음식료품 조리기계,50624,60688,70062
기타 샌드위치패널,14101,22557,23172
"기타 생물 살균, 살충제 및 식물보호제",9228,11291,10574
기타 생물학적 제제,144514,471766,581348
기타 석고 제품,24871,34074,31977
기타 석유정제품,308948,345754,415191
기타 석재 가공품,19716,35429,43055
기타 석회,12966,22727,24101
기타 선박 수리,17950,27258,12717
기타 섬유 마무리 가공기계,103036,115435,130948
"기타 섬유, 의복, 가죽 가공기계 부품",84671,17002,17127
기타 섬유제품,87593,185575,141169
기타 세제,108192,113634,94461
기타 소건품,16626,16029,22977
기타 소다공업제품,60104,57816,136866
기타 소재의 가구,13127,12795,16233
기타 송신관련 기기,8730,6282,8417
기타 수경성 시멘트,28307,34878,51665
기타 수공구,62457,51585,31172
기타 수동식 운송장비,75553,51200,52833
기타 수동식 운송장비 부품,26428,24126,19215
기타 수산동물 가공품,41609,39147,28856
기타 수산동물 및 부산물 건제품,8424,10647,8942
기타 수산동물 조리가공품,102682,111227,130151
기타 수산동물 통조림,37748,41083,36898
기타 수지식 동력 공구,70191,71083,66553
기타 수확관련 기계,77084,72939,77988
기타 시계,3639,3208,4184
기타 시계부품,8464,14874,12772
기타 식물성 원유(압착한 것),24104,45532,39803
기타 식물성 유박,X,X,X
기타 식물성 정제유 및 가공유,220697,193226,248003
기타 식사용 조리식품(제조도매),737202,505938,617111
기타 식품,58924,52224,56930
기타 식품첨가물,378473,431464,414916
기타 신품 자동차부품,2163038,2428090,2492690
기타 신호장치,49972,44852,56813
기타 악기 부품,38687,38321,43320
기타 안경,34200,21368,29932
기타 안경 부품,36592,76801,79411
