품목별,사업체수 (개),생산액 (백만원),출하금액 (백만원),완제품 연말재고액 (백만원)
  기타 봉제의복,15,40922,41005,1843
  천연모피(유연처리 또는 완성가공한 것),3,5548,5538,53
  천연모피 의복,22,107105,101194,18930
  기타 천연 모피제품,5,10086,9216,1830
  인조모피,6,81481,81650,10849
  인조모피 제품,2,...,...,...
  남자용 속옷 (편직결합),8,148722,145963,27718
  여자용 속옷 (편직결합),15,72406,71348,11040
  유아용 내의(편직결합),3,7579,7456,956
  남자용 셔츠(편직결합),26,71637,73946,5460
  여자용 셔츠 및 브라우스(편직결합),44,233671,241170,8849
  남자용 스웨터(편직결합),32,102183,103104,2691
  여자용 스웨터(편직결합),57,399440,399665,18791
  기타 남성용 편조 외의(편직결합),6,24216,23708,1355
  기타 여성용 편조 외의(편직결합),14,157593,157438,9033
  스타킹,17,50239,49571,6016
  양말,55,268501,266642,18660
  장갑(편직결합),44,129296,129774,11031
  기타 편조제품,10,20732,20794,280
  모자,44,74171,73439,2910
  섬유 장갑,27,87789,87343,3052
  가죽 장갑,8,19243,19272,1166
  넥타이,23,121191,116708,14582
  스카프,13,36713,36149,4711
  여자용 목도리,4,19138,18967,840
  벨트(허리띠),15,15638,14700,1439
  손수건,2,...,...,...
  의류 부분품,43,99772,100285,2877
  기타 의복악세서리,18,26169,25797,2255
" 가죽, 가방 및 신발 제조업",761,3562483,3506511,306632
  소가죽,69,924159,913118,50647
  돼지가죽,6,21011,22231,1380
  면양 또는 산양(염소)의 가죽,6,48688,50188,4701
  기타 동물가죽,5,11400,11592,772
  기타 특수가공가죽,5,19701,19280,555
  핸드백,30,183697,188060,28603
  지갑,23,95329,94402,10570
  서류가방,8,23382,22762,2526
  여행용 가방,7,24957,24797,672
  학생용 가방,12,45375,45078,4984
  등산용 베낭,5,70027,67353,11332
  기타 가방,14,20916,19154,6622
  케이스(가죽 및 섬유제),29,135946,136100,2811
  산업용 가죽제품,4,17960,17417,1852
  가정용 가죽제품,16,155382,153770,8087
  남자용 구두(단화 포함),59,388625,383827,39353
  여자용 구두(단화 포함),137,485220,469634,59770
  아동용 구두(단화 포함),4,3913,3972,443
  가죽 장화,13,37630,38232,752
  가죽 샌달,18,23321,22901,779
  가죽 등산화,5,20523,20799,387
  가죽 운동화,23,139302,139460,3998
  기타 가죽갑피 신발,22,84007,82240,11224
  고무장화,10,17649,16907,1255
  프라스틱 및 고무제 운동화,1,...,...,...
  기타 플라스틱 및 고무제 신발,5,3971,4027,232
  직물슬리퍼,4,2753,2638,115
  플라스틱 및 고무 슬리퍼,12,15472,15114,1007
  가죽 슬리퍼,1,...,...,...
  직물갑피제 운동화(스포츠전용화 제외),33,133589,118429,18092
  기타 직물갑피제 신발,5,21573,20244,6719
  스포츠화,19,100051,98310,15360
  기타 재료제의 신발,2,...,...,...
  가죽제 신발부분품,21,50627,50368,2163
  플라스틱 및 고무제 운동화부분품,43,95721,93064,4774
  기타 플라스틱 및 고무제 신발부분품,55,93404,93560,2258
  기타 재료제의 신발부분품,30,43543,43942,1719
 목재 및 나무제품 제조업;가구제외,975,3948648,3914387,161263
  소각재,29,128902,127540,4334
