행정구역별,품목별,항목,단위,2014 년
전  국,비식용 지방(육지동물의 것),사업체수[개],개,1
전  국,비식용 지방(육지동물의 것),생산액[백만원],백만원,...
전  국,비식용 지방(육지동물의 것),출하금액[백만원],백만원,...
전  국,비식용 지방(육지동물의 것),완제품 연말재고액[백만원],백만원,...
전  국,수산동물 조유(원유),사업체수[개],개,3
전  국,수산동물 조유(원유),생산액[백만원],백만원,20291
전  국,수산동물 조유(원유),출하금액[백만원],백만원,19563
전  국,수산동물 조유(원유),완제품 연말재고액[백만원],백만원,1449
전  국,동물성 지방 부산물,사업체수[개],개,17
전  국,동물성 지방 부산물,생산액[백만원],백만원,199638
전  국,동물성 지방 부산물,출하금액[백만원],백만원,200002
전  국,동물성 지방 부산물,완제품 연말재고액[백만원],백만원,4676
전  국,참기름,사업체수[개],개,30
전  국,참기름,생산액[백만원],백만원,130067
전  국,참기름,출하금액[백만원],백만원,128518
전  국,참기름,완제품 연말재고액[백만원],백만원,9445
전  국,들기름,사업체수[개],개,16
전  국,들기름,생산액[백만원],백만원,12950
전  국,들기름,출하금액[백만원],백만원,12899
전  국,들기름,완제품 연말재고액[백만원],백만원,403
전  국,옥수수 원유(압착한 것),사업체수[개],개,3
전  국,옥수수 원유(압착한 것),생산액[백만원],백만원,8959
전  국,옥수수 원유(압착한 것),출하금액[백만원],백만원,9186
전  국,옥수수 원유(압착한 것),완제품 연말재고액[백만원],백만원,412
전  국,채종유(유채유),사업체수[개],개,1
전  국,채종유(유채유),생산액[백만원],백만원,...
전  국,채종유(유채유),출하금액[백만원],백만원,...
전  국,채종유(유채유),완제품 연말재고액[백만원],백만원,...
전  국,기타 식물성 원유(압착한 것),사업체수[개],개,7
전  국,기타 식물성 원유(압착한 것),생산액[백만원],백만원,14632
전  국,기타 식물성 원유(압착한 것),출하금액[백만원],백만원,15550
전  국,기타 식물성 원유(압착한 것),완제품 연말재고액[백만원],백만원,2054
전  국,대두박,사업체수[개],개,4
전  국,대두박,생산액[백만원],백만원,524853
전  국,대두박,출하금액[백만원],백만원,524506
전  국,대두박,완제품 연말재고액[백만원],백만원,2692
전  국,기타 식물성 유박,사업체수[개],개,2
전  국,기타 식물성 유박,생산액[백만원],백만원,...
전  국,기타 식물성 유박,출하금액[백만원],백만원,...
전  국,기타 식물성 유박,완제품 연말재고액[백만원],백만원,...
전  국,콩기름(대두유),사업체수[개],개,12
전  국,콩기름(대두유),생산액[백만원],백만원,543164
전  국,콩기름(대두유),출하금액[백만원],백만원,542222
전  국,콩기름(대두유),완제품 연말재고액[백만원],백만원,12768
전  국,옥수수기름,사업체수[개],개,7
전  국,옥수수기름,생산액[백만원],백만원,68696
전  국,옥수수기름,출하금액[백만원],백만원,69617
전  국,옥수수기름,완제품 연말재고액[백만원],백만원,1105
전  국,올리브유,사업체수[개],개,3
전  국,올리브유,생산액[백만원],백만원,225198
전  국,올리브유,출하금액[백만원],백만원,223899
전  국,올리브유,완제품 연말재고액[백만원],백만원,2796
전  국,마아가린,사업체수[개],개,3
전  국,마아가린,생산액[백만원],백만원,69240
전  국,마아가린,출하금액[백만원],백만원,69150
전  국,마아가린,완제품 연말재고액[백만원],백만원,2450
전  국,쇼트닝,사업체수[개],개,3
전  국,쇼트닝,생산액[백만원],백만원,102261
전  국,쇼트닝,출하금액[백만원],백만원,101975
전  국,쇼트닝,완제품 연말재고액[백만원],백만원,2566
전  국,기타 식물성 정제유 및 가공유,사업체수[개],개,16
전  국,기타 식물성 정제유 및 가공유,생산액[백만원],백만원,134715
전  국,기타 식물성 정제유 및 가공유,출하금액[백만원],백만원,135319
전  국,기타 식물성 정제유 및 가공유,완제품 연말재고액[백만원],백만원,4317
전  국,시유,사업체수[개],개,37
전  국,시유,생산액[백만원],백만원,2726093
전  국,시유,출하금액[백만원],백만원,2711172
전  국,시유,완제품 연말재고액[백만원],백만원,34562
전  국,연유,사업체수[개],개,5
전  국,연유,생산액[백만원],백만원,19670
전  국,연유,출하금액[백만원],백만원,19341
