품목별,출하금액(백만원)
폴리프로필렌(PP)필름,751196
폴리에스터(PET)필름,2689860
플라스틱필름(포장용),1584086
폴리염화비닐(PVC)필름,873304
폴리스티렌(PS)필름,85424
플라스틱필름(포장용제외),1568162
플라스틱시트및판(포장용),1396561
플라스틱시트및판(포장용제외),983438
합성피혁,791948
플라스틱장판,347385
플라스틱벽지,54810
플라스틱타일,1172116
설치용및위생용플라스틱제품,1091938
플라스틱창문및문,1690534
기타건축용플라스틱조립제품,625141
플라스틱봉투,2231605
플라스틱병,1995123
플라스틱뚜껑,861022
기타플라스틱포장용기,4028599
운송장비용플라스틱제품,12296319
KeyPad,193890
핸드폰케이스,688006
전기및전자기기용플라스틱제품,3034705
기타기계용플라스틱제품,1169801
폴리스티렌발포제품,2938294
우레탄발포제품,1452333
기타플라스틱발포제품,216348
접착테이프,3099415
플라스틱적층품,1574320
플라스틱주방용품,1133343
가구용플라스틱제품,255823
오토바이용헬멧,138868
플라스틱헬멧,109981
플라스틱사무및문구용품,126548
플라스틱자석,15708
기타플라스틱제품,1124151
비금속광물제품제조업,36137160
판유리,592236
차량용안전유리,744033
건축용안전유리,570468
차량용거울,618792
유리거울(차량용제외),52328
복층절연유리,413466
기타판유리가공품,391891
유리장섬유,220157
유리단섬유,213298
유리섬유제품(직물제외),483692
기타1차유리제품,17186
브라운관용유리,X
LCD용유리,2761730
OLED용유리,492912
투명전도막코팅유리,117072
태양전지용유리,X
PDP용유리,X
전등용유리,X
기타산업용유리제품,119697
가정용유리제품,98083
일반유리용기,688025
실험실용및약물포장용유리용기,102139
기타유리제품,5300
내화벽돌및블록,322040
내화타일,43016
내화도가니,X
기타정형내화요업제품,138180
내화시멘트,212171
기타부정형내화요업제품,337421
토기제품,5035
가정용도자기,144843
장식용도자기,X
세면기,33124
변기,82338
욕조,16172
기타위생도기제품,31572
전기용도자기,269720
세라믹제및페라이트자석,185080
페라이트코아(철심),120641
기타산업용도자기,41920
도자기제조용분말,16123
기타일반도자기,X
점토벽돌,168128
점토기와,17634
점토타일,231099
건축용비내화요업제품,7048
시멘트클링커,407361
보통포틀랜드시멘트,1622149
백색시멘트,83008
기타포틀랜드시멘트,783036
알루미나시멘트,X
고로슬래그시멘트,708502
기타수경성시멘트,58425
생석회,627377
소석회,73016
기타석회,25093
플라스터,60044
비내화모르타르,594315
레미콘,9991007
석고보드,497102
기타석고제품,43700
콘크리트블록,841214
콘크리트벽돌,116146
콘크리트타일,103039
콘크리트기와,11718
인조대리석,926386
