품목별,출하액 (백만원)
고무줄 및 밴드,55091
고무 자석,5602
고무스펀지 및 발포성제품,300453
기타 고무제품,107625
플라스틱 프로파일,328939
플라스틱 샤시바,641615
플라스틱 파이프,1171886
플라스틱 호스,292158
플라스틱 연결구류,409173
폴리에틸렌(PE)필름,2025344
폴리프로필렌(PP)필름,867247
폴리에스터(PET)필름,2253514
플라스틱필름(포장용),1269712
폴리염화비닐(PVC)필름,766216
폴리스티렌(PS)필름,64371
플라스틱필름(포장용 제외),1307910
플라스틱 시트 및 판(포장용),1232153
플라스틱 시트 및 판(포장용 제외),650182
합성피혁,773314
플라스틱장판,460250
플라스틱벽지,44573
플라스틱 타일,1082775
설치용 및 위생용 플라스틱제품,980870
플라스틱 창문 및 문,1497072
기타 건축용 플라스틱 조립제품,617043
플라스틱 봉투,1837560
플라스틱 병,1959148
플라스틱 뚜껑,676421
기타 플라스틱 포장용기,3800222
운송장비용 플라스틱제품,12235144
Key Pad,208550
핸드폰케이스,728560
전기 및 전자기기용 플라스틱제품,2586071
기타 기계용 플라스틱제품,1142603
폴리스티렌 발포제품,2562737
우레탄 발포제품,1225190
기타 플라스틱 발포제품,173401
접착테이프,2945415
플라스틱 적층품,1516884
플라스틱 주방용품,835907
가구용 플라스틱제품,180876
오토바이용 헬멧,140723
플라스틱 헬멧,107130
플라스틱 사무 및 문구용품,117707
플라스틱 자석,17662
기타 플라스틱 제품,921368
비금속 광물제품 제조업,34026717
판유리,567631
차량용 안전유리,741926
건축용 안전유리,567983
차량용 거울,637998
유리거울(차량용 제외),54975
복층절연유리,344591
기타 판유리 가공품,295592
유리장섬유,156557
유리단섬유,157492
유리섬유 제품(직물제외),332063
기타 1차 유리제품,19165
브라운관용 유리,X
LCD용 유리,2873030
OLED용 유리,306113
투명전도막 코팅유리,92007
태양전지용 유리,4228
PDP용 유리,X
전등용 유리,12439
기타 산업용 유리제품,73694
가정용 유리제품,110260
일반 유리용기,664485
실험실용 및 약물 포장용 유리용기,140612
기타 유리제품,7301
내화벽돌 및 블록,396973
내화타일,49684
내화도가니,X
기타 정형 내화 요업제품,101984
내화시멘트,192761
기타 부정형 내화 요업제품,409606
토기제품,5697
가정용 도자기,90773
장식용 도자기,X
세면기,57273
변기,83276
욕조,22697
기타 위생도기제품,27280
전기용 도자기,192431
세라믹제 및 페라이트 자석,149932
페라이트 코아(철심),113738
기타 산업용 도자기,35107
도자기 제조용 분말,25220
기타 일반도자기,X
점토벽돌,167511
점토기와,22345
점토타일,273743
건축용 비내화 요업제품,6340
기타 건축용 비내화 요업제품,X
시멘트 클링커,417947
보통 포틀랜드시멘트,1476403
백색시멘트,83387
기타 포틀랜드 시멘트,801966
알루미나시멘트,X
고로슬래그시멘트,749366
기타 수경성 시멘트,51665
생석회,534939
소석회,68530
기타 석회,24101
플라스터,29103
비내화 모르타르,677354
레미콘,9693526
석고보드,489063
기타 석고 제품,31977
콘크리트 블록,697811
콘크리트 벽돌,96587
콘크리트 타일,66638
콘크리트 기와,12334
인조대리석,939817
콘크리트 벽면,219718
조립식 건축자재(콘크리트제),301911
콘크리트 파일,537708
콘크리트 전주,167478
흄관 및 VR관,176933
기타 콘크리트관,612222
기타 조립구조재,192247
"기타 콘크리트, 시멘트제품",75601
건설용 석제품,278362
착색 가공석제품(건설용),33342
기념석,20410
건물석,24277
포장석,X
기타 석재 가공품,43055
아스팔트 콘크리트 및 혼합제품,1274044
연마휠,61236
연마석,134463
연마지 및 포,386010
활석분,122160
규석분,79676
기타 비금속광물 분쇄물,473522
브레이크라이닝,9459
암면 및 유사제품,416066
탄소섬유,264139
아스팔트성형제품,94878
흑연 및 탄소제품(비전기용),116632
석면제품,65058
인공골재,87936
모래주형(중자포함),128485
기타 비금속광물제품,56981
1차 금속 제조업,135407612
제강용선철,X
주물용선철,104026
제철소 부산물,383051
슬래브,741216
블룸 및 쉬트바,X
빌렛,505566
강괴,X
망간철,X
합금철(페로얼로이),2263027
철분(철분쇄물),185123
봉강(보통강),1141042
봉강(특수강),1799625
봉강(스테인리스강),1533525
일반철근,4362398
고장력철근,1959807
선재(보통강),730000
선재(특수강),2516070
선재(스테인리스강),X
형강(보통강),2447259
형강(특수강),1760531
"중후판(두께 3mm이상, 스테인리스제 제외)",7120238
열연광폭강대(스테인리스제 제외),X
스테인리스 중후판 및 열연강판,4817722
기타 열연강판(스테인리스제 제외),6264318
중궤조,X
경궤조,X
기타 궤조 및 철도선로자재,X
냉연 봉강 및 냉연 형강,449855
냉연광폭강대(스테인리스제 제외),4449875
냉연협폭강대(스테인리스제 제외),309765
냉연박판(스테인리스제 제외),59346
냉연전기강판(스테인리스제 제외),46055
스테인리스 냉연강판,3283411
기타 냉연강판(스테인리스제 제외),3194419
보통 철선,472105
경강선 및 피아노선,522574
PＣ강선,307231
냉간압조용 강선(CHQ),771961
스테인리스강선,503348
아연도 강선,341795
타이어보강 강선,390385
기타도금 강선,30849
주철관(주조한 것),375865
주철제 관연결구류,182306
용접강관,4163671
무계목강관,431439
기타 강관,131966
강관 가공품,3697702
강관 연결구류,2227351
아연도강판,8901769
주석도금강판,704398
갈바륨강판,1379641
크롬도금강판,80748
알루미늄도금강판,1130828
기타 도금강판,274440
칼라강판,2241046
도금 강관 및 피복 강관,515332
기타 도금 및 피복처리 강재,97356
철강 절단품(구입한 강재 절단),7501113
동1차정련품,4920792
동 2차정련품,950405
알루미나,362158
알루미늄 1차정련품,1794893
알루미늄 2차정련품,1516765
연 1차정련품,1613381
연 2차정련품,602667
아연 1차정련품,3051810
아연 2차정련품,215807
금괴,2918928
은괴,1774938
기타 귀금속 1차정련품,104893
귀금속 2차정련품,178803
니켈괴,X
주석괴,10052
기타 비철금속 1차정련품,618865
기타 비철금속 2차정련품,169355
동봉,903707
나동선,3209802
동판,1319736
동박(두께 0.15 ㎜ 이하),580982
