확성기,92528,FALSE,확성기,119557,,확성기,34104,,휴대용전등기구,4465,,휴대용전등기구,5362,,흄관및VR관,275708,,BLU용광학필름,726878,,휴대폰용카메라모듈,1311802,,희소가스,...,,흑연및탄소제품(비전기용),182177,,휴대용전화기,X,,휴대용전화기KD세트,2386287,,휴대용전화기KD세트,2123799,,휴대폰용카메라모듈,6754134,,흄관및VR관,173473
화합물및화학제품제조업,68015753,FALSE,화합물및화학제품제조업,81491012,,화합물및화학제품제조업,89591845,,휴대용저장장치,400066,,휴대용저장장치,261973,,휴대폰용카메라모듈,1129154,,ASIC로직,1225966,,휴대용전화기KD세트,...,,흑연및탄소제품(비전기용),141994,,흄관및VR관,194029,,휴대용전등기구,9664,,휴대용전화기,19870714,,휴대용전화기,17861039,,휴대용전화기KD세트,X,,휴대폰용카메라모듈,9626236
화학제품제조기계,42135,TRUE,화학조미료,276611,,화학조미료,215602,,휴대용연료,98652,,휴대용연료,91294,,휴대용전화기KD세트,7297987,,ABS수지,3047535,,휴대용전화기,45031892,,흄관및VR관,196297,,휴대폰용카메라모듈,1763751,,휴대용저장장치,111705,,휴대용전등기구,17172,,휴대용전등기구,15118,,휴대용전화기,16586774,,휴대용전화기KD세트,X
화학적으로변성가공한동식물성유지,39870,TRUE,화학제품제조기계,61645,,화학제품제조기계,67288,,휴대용시계,82081,,휴대용시계,89071,,휴대용전화기(GSM방식),20854957,,흑연및탄소제품(비전기용),152331,,휴대용전등기구,5093,,휴대폰용카메라모듈,1903397,,휴대용전화기KD세트,3117906,,휴대용연료,X,,휴대용저장장치,130466,,휴대용저장장치,99166,,휴대용전등기구,16233,,휴대용전화기,11112913
화학섬유및방적기계,112941,FALSE,화학섬유및방적기계,92424,,화학섬유및방적기계,67494,,휘발유,6639381,,휘발유,10016855,,휴대용전화기(CDMA방식),12148364,,흄관및VR관,180412,,휴대용저장장치,154016,,휴대용전화기KD세트,...,,휴대용전화기,37629879,,휴대용시계,30744,,휴대용연료,X,,휴대용연료,X,,휴대용저장장치,62496,,휴대용전등기구,26576
화차(비동력식),26365,TRUE,,,,화장지,674605,,후추가루,20268,,후추가루,20442,,휴대용전등기구,7074,,휴대폰용카메라모듈,1812309,,휴대용연료,...,,휴대용전화기,45120174,,휴대용전등기구,4058,,휘발유,10326120,,휴대용시계,33374,,휴대용시계,28116,,휴대용연료,X,,휴대용저장장치,220666
화장지,396927,FALSE,화장지,420284,,화장용분첩및패드,30439,,효소식품,2262,,효소식품,32342,,휴대용저장장치,235078,,휴대용전화기KD세트,...,,휴대용시계,60761,,휴대용전등기구,4346,,휴대용저장장치,227512,,후추가루,39377,,휘발유,13981660,,휘발유,17916684,,휴대용시계,30656,,휴대용연료,X
화장용분첩및패드,22792,FALSE,화장용분첩및패드,18364,,화장비누,128927,,효모,59069,,효모,56564,,휴대용연료,...,,휴대용전화기(피처폰),3079941,,휘발유,20403547,,휴대용저장장치,231017,,휴대용연료,...,,효소식품,204053,,후추가루,44180,,후추가루,49636,,휘발유,15812517,,휴대용시계,22047
화장비누,111575,FALSE,화장비누,146249,,화약및폭약,136361,,회주물(보통주철),1385448,,회주물(보통주철),1971342,,휴대용시계,69890,,휴대용전등기구,7163,,후추가루,27230,,휴대용연료,...,,휴대용시계,34587,,효모,30206,,효소식품,255960,,효소식품,254408,,후추가루,54942,,휘발유,17659951
화약및폭약,158956,FALSE,화약및폭약,189577,,화물용기차,...,,회전위상변환기,6173,,회전위상변환기,8998,,휘발유,10065641,,휴대용저장장치,219730,,효소식품,126456,,휴대용시계,56028,,휘발유,18880981,,회주물(보통주철),2630466,,효모,43135,,효모,36820,,효소식품,348530,,후추가루,59928
화선지,3918,TRUE,화물용기차,20146,,화강암원석(파쇄되지않은것),92014,,황산칼륨(황산칼리),...,,황산칼륨(황산칼리),...,,후추가루,19801,,휴대용연료,...,,효모,58363,,휘발유,18782849,,후추가루,41543,,회전위상변환기,211108,,회주물(보통주철),2591533,,회주물(보통주철),2643640,,효모,34044,,효소식품,403226
화강암원석(파쇄되지않은것),73171,FALSE,화강암원석(파쇄되지않은것),80620,,홍차,13670,,황산암모늄,...,,황산암모늄,215002,,효소식품,24560,,휴대용시계,65575,,회주물(보통주철),3357060,,후추가루,41169,,효소식품,353530,,황산암모늄,X,,회전위상변환기,169976,,회전위상변환기,107914,,회주물(보통주철),2546602,,효모,48756
홍차,20940,FALSE,홍차,14121,,홍삼,126096,,황산알루미늄,40834,,황산알루미늄,43918,,효모,67240,,휘발유,19104256,,회전위상변환기,19331,,효소식품,130179,,효모,33338,,황산알루미늄,38895,,황산칼륨(황산카리),X,,황산칼륨(황산카리),X,,회전위상변환기,95160,,회주물(보통주철),2280913
홍삼,106978,FALSE,홍삼,103151,,홈네트워크장비,12612,,황산마그네슘,...,,황산마그네슘,...,,회주물(보통주철),1644144,,후추가루,23075,,황산칼륨(황산칼리),...,,효모,31452,,회주물(보통주철),3081158,,황산마그네슘,8603,,황산암모늄,X,,황산암모늄,X,,황산암모늄,X,,회전위상변환기,64245
혼합조제분말,190414,FALSE,혼합조제분말,212718,,혼합조제분말,251474,,황산,110610,,황산,354664,,회전위상변환기,...,,효소식품,80563,,황산암모늄,223724,,회주물(보통주철),3132057,,회전위상변환기,18025,,황산,175321,,황산알루미늄,51548,,황산알루미늄,73439,,황산알루미늄,89902,,황산암모늄,X
혼합조미료,339890,FALSE,혼합조미료,283729,,혼합조미료,217922,,황,50309,,황,49361,,황산칼륨(황산칼리),...,,효모,45399,,황산알루미늄,47476,,회전위상변환기,22422,,황산칼륨(황산카리),...,,황,114486,,황산마그네슘,8543,,황산마그네슘,24709,,황산마그네슘,X,,황산알루미늄,85523
