원두커피,33497,33878,28878,35195,32833,103457,146104,144890,93149,89354,205207,285850,404201,400084,631285
인스턴트커피,229417,203228,163454,185145,190194,195855,327540,318605,368398,372686,505366,516835,356779,612092,413329
커피믹스,,220093,374184,342566,455456,429048,496360,609954,802360,801953,789438,870196,358809,602040,454587
녹차,175686,219191,187356,151716,152830,127894,112291,170679,144981,129012,117637,114378,131258,118543,156493
홍차,20940,14121,13670,27606,8455,31913,29004,37546,22244,16266,26848,19448,30425,20350,23604
"치커리차,보리차및옥수수차",32582,25978,32035,19612,15946,30982,49602,51758,87310,87719,175786,172200,205642,201840,231556
율무차,10918,10569,18213,20366,7966,25796,28614,57411,60903,57955,57717,34398,40336,40670,33114
유자차,21308,26042,53741,53049,43281,52318,63813,61782,51668,69652,102555,108675,198886,192657,137044
꿀차,14016,10363,8714,15532,16850,32937,45062,44060,47039,30404,13410,6672,13787,11810,29709
기타가공차,65552,63214,66864,53811,64324,78814,179584,86033,174533,112079,115025,184296,303641,208244,238489
조제수프,,79543,166402,190182,74238,69435,85126,36310,64977,78448,104481,99681,100967,67049,65668
이유식(우유기저제외),,,,,,,,,,,176052,182819,102324,123093,229483
음료베이스,,62603,112753,113093,94364,188209,165844,309561,248421,190171,216811,252937,297130,372885,493741
두부,185417,235824,252014,297451,261247,308800,383882,355450,437381,462326,496164,523045,506666,519254,641299
유부,26612,27001,35147,37138,44204,53043,57071,62771,50813,59585,56151,65372,66571,67363,65762
기타묵및유사제품,13579,19549,30022,23666,23505,27016,40136,48197,51684,58222,60009,58514,61852,65879,89724
백삼,20025,14026,27466,16566,13677,15732,32292,20831,7581,11871,3567,2625,1542,X,X
홍삼,106978,103151,126096,153948,120306,146490,194221,294226,255297,308966,406716,365155,393551,306928,325332
인삼분말,12585,13979,21120,23691,24719,47370,23853,35033,39117,33470,30257,33782,43539,46885,37046
인삼즙,37080,,,56568,117111,107085,141815,189974,131513,199364,282953,298146,328371,289295,379528
인삼차,32469,34379,44439,31747,39229,103296,117135,147255,172293,145928,154666,180303,174754,72637,70249
